hostname,sy_pnum,st_rad,st_mass
CWISEP J193518.59-154620.3,1,NA,0.024
CoRoT-1,1,1.14,1.03
CoRoT-1,1,NA,NA
CoRoT-1,1,1.131,0.95
CoRoT-1,1,1.29,NA
CoRoT-1,1,NA,NA
CoRoT-1,1,1.11,0.95
CoRoT-1,1,1.23,1.22
CoRoT-10,1,0.548929,NA
CoRoT-10,1,0.79,0.89
CoRoT-10,1,0.743,0.904
CoRoT-10,1,0.79,0.89
CoRoT-11,1,1.374,1.26
CoRoT-11,1,1.33,1.23
CoRoT-11,1,1.58601,NA
CoRoT-11,1,1.37,1.27
CoRoT-11,1,1.36,1.56
CoRoT-11,1,1.37,1.27
CoRoT-11,1,1.37,1.27
CoRoT-12,1,1.03674,NA
CoRoT-12,1,1.116,1.078
CoRoT-12,1,1.049,1
CoRoT-12,1,1.116,1.078
CoRoT-12,1,1.046,1.018
CoRoT-12,1,1.116,1.078
CoRoT-13,1,1.274,1.086
CoRoT-13,1,1.01,1.09
CoRoT-13,1,1.13707,NA
CoRoT-13,1,1.01,1.09
CoRoT-13,1,1.01,1.09
CoRoT-14,1,1.21,1.13
CoRoT-14,1,1.21,1.13
CoRoT-14,1,1.19,1.125
CoRoT-16,1,1.19,1.098
CoRoT-16,1,1.19,1.098
CoRoT-17,1,1.62,1.043
CoRoT-17,1,1.59,1.04
CoRoT-17,1,1.59,1.04
CoRoT-18,1,1,0.95
CoRoT-18,1,0.883,0.88
CoRoT-18,1,0.934028,NA
CoRoT-18,1,0.924,0.861
CoRoT-18,1,1,0.95
CoRoT-18,1,1,0.95
CoRoT-19,1,1.65,1.21
CoRoT-19,1,1.65,1.21
CoRoT-19,1,1.65,1.21
CoRoT-19,1,1.65,1.21
CoRoT-19,1,1.6395,NA
CoRoT-19,1,1.576,1.181
CoRoT-2,1,NA,NA
CoRoT-2,1,0.901,0.997
CoRoT-2,1,NA,NA
CoRoT-2,1,0.902,0.97
CoRoT-2,1,NA,NA
CoRoT-2,1,NA,NA
CoRoT-2,1,0.902,0.97
CoRoT-2,1,NA,NA
CoRoT-2,1,NA,NA
CoRoT-2,1,0.937741,NA
CoRoT-2,1,0.907,1.018
CoRoT-2,1,0.937741,0.972
CoRoT-2,1,0.906,0.96
CoRoT-20,2,1.02,1.14
CoRoT-20,2,1.02,1.14
CoRoT-20,2,1.29981,NA
CoRoT-20,2,NA,1.14
CoRoT-20,2,1.34,1.11
CoRoT-20,2,1.16,1.1
CoRoT-20,2,NA,1.14
CoRoT-21,1,1.95,1.29
CoRoT-21,1,1.95,1.29
CoRoT-22,1,1.136,1.099
CoRoT-23,1,1.61,1.14
CoRoT-23,1,1.74,1.122
CoRoT-23,1,1.61,1.14
CoRoT-24,2,0.86,0.91
CoRoT-24,2,0.86,0.91
CoRoT-25,1,1.19,1.09
CoRoT-25,1,1.19,1.09
CoRoT-26,1,1.79,1.09
CoRoT-26,1,1.79,1.09
CoRoT-27,1,1.08,1.05
CoRoT-27,1,1.08,1.05
CoRoT-28,1,1.78,1.01
CoRoT-28,1,1.78,1.01
CoRoT-29,1,1.07719,0.9
CoRoT-29,1,0.9,0.97
CoRoT-29,1,0.9,0.97
CoRoT-3,1,1.56,1.37
CoRoT-3,1,1.56,1.37
CoRoT-3,1,1.44,1.41
CoRoT-3,1,1.575,1.403
CoRoT-3,1,1.54,1.359
CoRoT-30,1,0.91,0.98
CoRoT-31,1,2.15,1.25
CoRoT-32,1,0.79,1.08
CoRoT-32,1,0.79,1.08
CoRoT-35,1,1.65,1.01
CoRoT-36,1,1.52,1.32
CoRoT-4,1,1.1475,1.194
CoRoT-4,1,1.12271,NA
CoRoT-4,1,1.17,1.16
CoRoT-4,1,1.17,1.16
CoRoT-5,1,1.186,1
CoRoT-5,1,1.115,0.99
CoRoT-5,1,NA,NA
CoRoT-5,1,1.27299,NA
CoRoT-5,1,1.0516,1.025
CoRoT-5,1,1.186,1
CoRoT-6,1,1.043,1.054
CoRoT-6,1,1.025,1.05
CoRoT-6,1,1.025,1.05
CoRoT-6,1,NA,NA
CoRoT-7,3,NA,0.915
CoRoT-7,3,0.83,0.82
CoRoT-7,3,0.82,0.913
CoRoT-7,3,0.8389,0.884
CoRoT-7,3,0.864273,0.899
CoRoT-7,3,0.96,0.884
CoRoT-7,3,0.87,0.93
CoRoT-7,3,0.864273,0.899
CoRoT-7,3,NA,0.915
CoRoT-7,3,0.864273,0.899
CoRoT-7,3,0.864273,0.899
CoRoT-7,3,NA,0.915
CoRoT-8,1,0.77,0.88
CoRoT-8,1,0.802,0.89
CoRoT-8,1,0.898,0.878
CoRoT-8,1,0.77,0.88
CoRoT-9,1,0.96,0.96
CoRoT-9,1,0.96,0.96
CoRoT-9,1,0.94,0.99
CoRoT-9,1,NA,NA
CoRoT-9,1,0.938,0.96
DE CVn,1,NA,0.51
DENIS-P J082303.1-491201,1,NA,0.075
DH Tau,1,0.27,0.33
DH Tau,1,1.36687,0.683
DMPP-1,4,NA,1.21
DMPP-1,4,1.26,1.21
DMPP-1,4,NA,1.21
DMPP-1,4,1.26,1.21
DMPP-1,4,NA,1.21
DMPP-1,4,1.26,1.21
DMPP-1,4,1.26,1.21
DMPP-2,3,NA,1.41
DMPP-2,3,1.78,1.44
DMPP-2,3,NA,1.41
DMPP-2,3,NA,1.41
DMPP-3 A,1,NA,0.9
DMPP-3 A,1,0.91,0.87
DMPP-3 A,1,0.903733,0.86
DMPP-4,1,1.38,1.25
DMPP-6,2,1.27,1.079
DMPP-6,2,1.27,1.079
DMPP-7,1,NA,1.09
DMPP-8,1,1.24,0.99
DMPP-9,1,1.26,1.1
DP Leo,1,NA,0.69
DP Leo,1,NA,NA
DS Tuc A,1,0.872,0.959
DS Tuc A,1,0.951985,NA
DS Tuc A,1,0.964,1.01
EPIC 201170410,1,0.282,0.287
EPIC 201238110,1,0.374,NA
EPIC 201238110,1,NA,0.41
EPIC 201427007,1,0.94,NA
EPIC 201497682,1,NA,0.78
EPIC 201595106,2,0.932487,NA
EPIC 201595106,2,0.990833,1.018
EPIC 201595106,2,0.98,0.958
EPIC 201595106,2,0.93,NA
K2-166,2,NA,1.073
K2-16,3,NA,0.67
EPIC 201757695,1,0.655,0.727
K2-50,2,0.634,NA
K2-50,2,NA,0.611
EPIC 201841433,1,0.628461,0.802
EPIC 201841433,1,0.628,NA
EPIC 201841433,1,NA,0.802
K2-168,2,0.83,0.877
K2-168,2,NA,0.907
K2-168,2,0.904,NA
EPIC 206024342,3,NA,0.928
EPIC 206024342,3,0.823,NA
EPIC 206024342,3,0.823,NA
EPIC 206024342,3,1.1,NA
EPIC 206024342,3,0.94,NA
EPIC 206024342,3,1.1,NA
EPIC 206024342,3,0.823,NA
EPIC 206024342,3,0.94,NA
EPIC 206024342,3,1.5,NA
EPIC 206032309,1,NA,0.221
EPIC 206042996,2,0.668,NA
EPIC 206042996,2,NA,0.565
EPIC 206042996,2,0.5,NA
EPIC 206042996,2,0.57,NA
EPIC 206042996,2,0.5,NA
EPIC 206215704,1,NA,0.407
EPIC 206215704,1,0.367,NA
EPIC 206215704,1,0.25,NA
EPIC 206317286,2,0.669,NA
EPIC 206317286,2,NA,0.711
EPIC 206317286,2,0.73,NA
EPIC 206317286,2,0.758,0.832
EPIC 206317286,2,0.669,NA
EPIC 211822797,1,0.597044,0.585671
EPIC 211822797,1,0.58,0.62
EPIC 211822797,1,0.597044,0.585671
EPIC 211822797,1,0.59,0.61
EPIC 211822797,1,0.571699,0.663459
EPIC 211822797,1,0.642,NA
EPIC 211945201,1,1.387,1.17
EPIC 211945201,1,1.3636,1.158
EPIC 211945201,1,1.3636,1.158
EPIC 211945201,1,1.38,1.18
EPIC 211945201,1,1.36,NA
EPIC 211945201,1,1.410092,NA
EPIC 211945201,1,1.485,NA
EPIC 211945201,1,1.48,NA
EPIC 211945201,1,1.403,NA
EPIC 211945201,1,1.39,1.17
EPIC 211945201,1,1.38,1.18
EPIC 212297394,2,0.8,0.83
EPIC 212297394,2,NA,0.829
EPIC 212297394,2,0.749,NA
EPIC 212297394,2,0.776343,0.831
EPIC 212297394,2,0.8,0.83
EPIC 212297394,2,0.749,NA
EPIC 212424622,1,1.2247,NA
EPIC 212424622,1,NA,1.106
EPIC 212499991,1,NA,0.912
EPIC 212587672,2,0.9757,NA
EPIC 212587672,2,0.98,0.99
EPIC 212587672,2,NA,0.95
EPIC 212587672,2,0.952744,NA
EPIC 212587672,2,0.94987,1.13
EPIC 212587672,2,0.94987,1.13
EPIC 212587672,2,0.95,NA
EPIC 212587672,2,0.98,0.99
EPIC 212587672,2,0.9757,NA
EPIC 212624936,2,0.93,NA
EPIC 212624936,2,0.948,NA
EPIC 212624936,2,0.93,NA
EPIC 212737443,2,0.669035,0.724
EPIC 212737443,2,0.669035,0.724
EPIC 212737443,2,0.673,0.69
EPIC 212737443,2,0.673,0.69
EPIC 220492298,1,0.89,NA
K2-282,2,NA,0.94
K2-282,2,1.013,NA
K2-282,2,1,NA
EPIC 220674823,2,0.83,0.93
EPIC 220674823,2,0.98,0.97
EPIC 220674823,2,0.99,0.913
EPIC 220674823,2,1.02,NA
EPIC 220674823,2,0.981,0.902
EPIC 220674823,2,0.995,0.91
EPIC 220674823,2,0.869,0.945
EPIC 220674823,2,0.95,0.92
EPIC 220674823,2,0.97,NA
EPIC 220674823,2,0.95,NA
EPIC 220674823,2,0.99,0.913
EPIC 220674823,2,0.906429,0.966939
EPIC 220674823,2,0.988,0.95
EPIC 220674823,2,0.995,0.91
EPIC 220674823,2,0.83,0.93
EPIC 220674823,2,0.95,NA
EPIC 220674823,2,0.99,0.913
EPIC 220674823,2,0.99,0.913
EPIC 220674823,2,0.988,0.95
EPIC 220674823,2,1.02,NA
EPIC 220674823,2,0.98,0.97
EPIC 220674823,2,0.869,0.945
EPIC 220674823,2,0.906429,0.966939
EPIC 220674823,2,0.97,NA
EPIC 220674823,2,0.95,0.92
EPIC 228836835,1,0.42390099999999997,0.418179
EPIC 228836835,1,0.32,NA
EPIC 229004835,1,0.998,0.95
EPIC 229004835,1,0.995311,1.067
EPIC 229004835,1,0.999,0.97
EPIC 229004835,1,0.975013,NA
EPIC 246851721,1,1.586,1.317
EPIC 246851721,1,1.73931,NA
EPIC 246851721,1,1.586,1.317
EPIC 248847494,1,2.7,0.9
EPIC 249893012,3,1.71,1.05
EPIC 249893012,3,1.71,1.05
EPIC 249893012,3,1.71,1.05
FU Tau,1,NA,0.05
FU Tau,1,NA,NA
G 192-15,2,NA,0.132
G 192-15,2,NA,0.132
G 196-3,1,NA,NA
G 261-6,1,NA,0.118
G 264-012,2,0.305,0.297
